Activity,Time spent day : 2024-05-31
Visual Studio Code ,0:08:35.414309
Google Chrome ,1:42:25.795847
MINGW64 ,0:00:16.138000
Calculator ,8:37:03.573000
WhatsApp ,0:29:48.424849
Historique des telechargements recents ,0:00:01.015404
Configuration du compte de courrier ,0:00:24.246584
Microsoft Outlook ,0:00:02.025447
