Activity,Time spent day : 2024-05-30
Visual Studio Code ,0:04:14.706503
Google Chrome ,2:10:02.285776
Microsoft Edge ,0:01:41.331246
Barre de recherche ,10:33:14.095000
Opera ,0:00:22.801000
MINGW64 ,0:00:04.041426
WhatsApp ,0:03:08.343773
Assistant dancrage ,0:00:01.017256
